id,title,document type,publication type,references
PMID:10528301,[Image characterization of Alzheimer's disease associated with the E280A-PS1 mutation. Case-control study: MRI findings].,PUBMED_ABSTRACT,"D004740:English Abstract, D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:22994551,Neurosyphilis with dementia and bilateral hippocampal atrophy on brain magnetic resonance imaging.,PUBMED_ABSTRACT,"D002363:Case Reports, D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:9403898,"Temporal lobe magnetic resonance imaging can differentiate Alzheimer's disease from normal ageing, depression, vascular dementia and other causes of cognitive impairment.",PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:8797529,"In vivo mapping of cholinergic terminals in normal aging, Alzheimer's disease, and Parkinson's disease.",PUBMED_ABSTRACT,"D016428:Journal Article, D013486:Research Support, U.S. Gov't, Non-P.H.S., D013487:Research Support, U.S. Gov't, P.H.S.",[NOT AVAILABLE]
PMID:9053390,[Posterior cortical atrophy--a new dementia syndrome or a form of Alzheimer's disease?].,PUBMED_ABSTRACT,"D004740:English Abstract, D016428:Journal Article, D016454:Review",[NOT AVAILABLE]
PMID:12215879,[Late onset Huntington's disease - a differential diagnosis of Alzheimer's disease].,PUBMED_ABSTRACT,"D002363:Case Reports, D016428:Journal Article",[NOT AVAILABLE]
PMID:15477534,Progressive posterior cortical dysfunction: a clinicopathologic series.,PUBMED_ABSTRACT,"D002363:Case Reports, D016428:Journal Article, D052061:Research Support, N.I.H., Extramural, D013485:Research Support, Non-U.S. Gov't, D013487:Research Support, U.S. Gov't, P.H.S.",[NOT AVAILABLE]
PMID:24929969,APOE-epsilon4 and aging of medial temporal lobe gray matter in healthy adults older than 50 years.,PUBMED_ABSTRACT,"D016428:Journal Article, D052061:Research Support, N.I.H., Extramural, D013486:Research Support, U.S. Gov't, Non-P.H.S.",[NOT AVAILABLE]
PMID:25998115,Neuropsychological assessment and differential diagnosis in young-onset dementias.,PUBMED_ABSTRACT,"D016428:Journal Article, D016454:Review",[NOT AVAILABLE]
PMID:7969213,Vascular chorea: case report with pathology.,PUBMED_ABSTRACT,"D002363:Case Reports, D016428:Journal Article",[NOT AVAILABLE]
PMCID:PMC5618996,"Alois Alzheimer and vascular brain disease: Arteriosclerotic atrophy
of the brain",PMC_FULLTEXT,[NOT AVAILABLE],[NOT AVAILABLE]
PMID:22639435,"Comparison of entorhinal cortex atrophy between early-onset and late-onset Alzheimer's disease using the VSRAD, a specific and sensitive voxel-based morphometry.",PUBMED_ABSTRACT,D016428:Journal Article,[NOT AVAILABLE]
PMID:1827501,Suprasellar cistern measures as a reflection of dementia in Alzheimer's disease but not Huntington's disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D013487:Research Support, U.S. Gov't, P.H.S.",[NOT AVAILABLE]
PMID:11412722,[Alien hand syndrome in Creutzfeldt-Jakob disease].,PUBMED_ABSTRACT,"D002363:Case Reports, D004740:English Abstract, D016428:Journal Article",[NOT AVAILABLE]
PMID:25127896,[Clinical presentation of Moroccan cases with Alzheimer's disease].,PUBMED_ABSTRACT,"D003160:Comparative Study, D004740:English Abstract, D016428:Journal Article",[NOT AVAILABLE]
PMID:10528300,[Neuropathological findings in early-onset Alzheimer's disease (E280a-PS1 mutation)].,PUBMED_ABSTRACT,"D004740:English Abstract, D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:2583534,Lymphocyte glutamate dehydrogenase activity in normal aging and neurological diseases.,PUBMED_ABSTRACT,D016428:Journal Article,[NOT AVAILABLE]
PMID:15849159,Cortical sensory loss in a patient with posterior cortical atrophy: a case report.,PUBMED_ABSTRACT,"D002363:Case Reports, D016428:Journal Article",[NOT AVAILABLE]
PMCID:PMC3782069,Pathological mechanisms underlying TDP-43 driven neurodegeneration in FTLD–ALS spectrum disorders,PMC_FULLTEXT,[NOT AVAILABLE],[NOT AVAILABLE]
PMCID:PMC5887922,The role of oxidative stress in Friedreich's ataxia,PMC_FULLTEXT,[NOT AVAILABLE],[NOT AVAILABLE]
PMID:2774485,Quantitation of cerebral atrophy in preclinical and end-stage Alzheimer's disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D013487:Research Support, U.S. Gov't, P.H.S.",[NOT AVAILABLE]
PMID:21462259,Focal cortical and subcortical atrophy in early Parkinson's disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D052061:Research Support, N.I.H., Extramural, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:11563438,Magnetic resonance imaging and magnetic resonance spectroscopy in dementias.,PUBMED_ABSTRACT,"D016428:Journal Article, D016454:Review",[NOT AVAILABLE]
