id,title,document type,publication type,references
PMID:17716970,Presenilin 1 regulates epidermal growth factor receptor turnover and signaling in the endosomal-lysosomal pathway.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMCID:PMC5201440,Natural product HTP screening for evidence of attenuated cytokine-induced neutrophil chemo attractants (CINCs) and NO2− in LPS/IFNγ activated glioma cells,PMC_FULLTEXT,[NOT AVAILABLE],[NOT AVAILABLE]
PMID:27807401,Alzheimer Disease: Crosstalk between the Canonical Wnt/Beta-Catenin Pathway and PPARs Alpha and Gamma.,PUBMED_ABSTRACT,"D016454:Review, D016428:Journal Article",[NOT AVAILABLE]
PMCID:PMC6194433,Early Life Stress and Epigenetics in Late-onset Alzheimer’s Dementia: A Systematic Review,PMC_FULLTEXT,[NOT AVAILABLE],[NOT AVAILABLE]
PMCID:PMC2781139,The effect of curcumin (turmeric) on Alzheimer's disease: An overview,PMC_FULLTEXT,[NOT AVAILABLE],[NOT AVAILABLE]
PMCID:PMC3977528,A Survey of FDG- and Amyloid-PET Imaging in Dementia and GRADE Analysis,PMC_FULLTEXT,[NOT AVAILABLE],[NOT AVAILABLE]
PMCID:PMC5606611,Feline Immunodeficiency Virus Neuropathogenesis: A Model for HIV-Induced CNS Inflammation and Neurodegeneration,PMC_FULLTEXT,[NOT AVAILABLE],"doi:10.1002/ana.410310403, pmid:1586136, pmid:10400783, doi:10.1080/135502801753248114, pmid:11704885, doi:10.1038/nri1527, pmid:15630430, doi:10.1128/JVI.75.21.10073-10089.2001, pmid:11581376, doi:10.1006/viro.1999.0152, pmid:10704350, doi:10.1126/science.3016903, pmid:3016903, doi:10.3109/13550289609146909, pmid:8972425, doi:10.1080/753312748, pmid:14982735, doi:10.1084/jem.193.8.905, pmid:11304551, doi:10.2741/A210, pmid:9341240, doi:10.1093/jnen/64.6.529, pmid:15977645, doi:10.1097/00126334-200210010-00007, pmid:12394795, doi:10.1080/13550280290049615, pmid:11935465, doi:10.1007/s13365-010-0006-1, pmid:21174240, doi:10.1097/01.qai.0000165799.59322.f5, pmid:16010165, doi:10.1101/cshperspect.a020537, pmid:26134003, doi:10.1038/nature13989, pmid:25470051, doi:10.1172/JCI84456, pmid:26950420, doi:10.1126/science.3643650, pmid:3643650, doi:10.1007/s11481-006-9045-z, pmid:18040840, doi:10.1093/infdis/jiu368, pmid:25414420, doi:10.1016/j.coviro.2013.08.003, pmid:23992667, pmid:23372784, doi:10.1099/vir.0.000035, pmid:25535323, doi:10.1186/s12977-014-0095-7, pmid:25430586, doi:10.1128/JVI.02612-15, pmid:26491161, doi:10.1099/vir.0.071522-0, pmid:25395594, doi:10.1016/j.vaccine.2016.06.060, pmid:27522177, doi:10.1016/j.vaccine.2015.01.028, pmid:25613718, doi:10.1016/j.vaccine.2013.05.024, pmid:23800540, doi:10.1128/JVI.03814-13, pmid:24390322, doi:10.3390/v7052210, pmid:25941825, doi:10.1016/j.virusres.2012.10.009, pmid:23073179, doi:10.1186/1742-4690-10-69, pmid:23829177, doi:10.1186/1742-4690-9-12, pmid:22314004, doi:10.1177/1098612X14533550, pmid:24820998, doi:10.1016/j.rvsc.2013.11.007, pmid:24332273, doi:10.1016/j.rvsc.2015.02.008, pmid:25747956, doi:10.1111/jsap.12160, pmid:24279640, doi:10.1089/aid.2013.0062, pmid:23924068, doi:10.4049/jimmunol.1401762, pmid:25548225, doi:10.1128/JVI.00996-13, pmid:23760252, doi:10.1186/1743-422X-11-7, pmid:24438223, doi:10.1016/j.cimid.2015.07.003, pmid:26385493, doi:10.1016/j.vetmic.2015.08.012, pmid:26315773, doi:10.1371/journal.pone.0054673, doi:10.1016/j.bmcl.2014.04.073, pmid:24813732, doi:10.1016/j.bmcl.2014.12.047, pmid:25702849, doi:10.1177/1098612X14532089, pmid:24782459, doi:10.1016/j.jveb.2012.03.001, pmid:25477770, doi:10.1523/JNEUROSCI.5818-08.2009, pmid:19571133, doi:10.1096/fj.12-215079, pmid:23150523, doi:10.1097/00042560-199904150-00001, pmid:10225221, doi:10.1016/j.vetimm.2014.02.014, pmid:24636302, doi:10.1073/pnas.0404006101, pmid:15326292, doi:10.1126/science.1092124, pmid:14976315, pmid:10400726, pmid:9499065, pmid:9658090, pmid:9261358, pmid:10196258, pmid:8151773, pmid:2479773, doi:10.1016/0165-2427(92)90118-A, pmid:1337399, doi:10.1086/513822, pmid:9419165, doi:10.1086/315089, pmid:10515809, doi:10.1007/s007050070006, pmid:11205103, doi:10.1007/s00705-002-0827-1, pmid:12181672, pmid:2161920, doi:10.1016/S0306-4522(96)00531-3, pmid:9130796, doi:10.1016/S0166-0934(98)00053-6, pmid:9705182, pmid:9971834, doi:10.1006/viro.1999.0079, pmid:10612672, doi:10.1007/BF01309653, pmid:1322657, doi:10.1073/pnas.95.5.2624, pmid:9482937, doi:10.1080/13550280290049688, pmid:12053276, doi:10.1099/0022-1317-75-12-3647, pmid:7996160, doi:10.1080/13550280390218779, pmid:12907391, doi:10.1080/13550280600889575, pmid:16966221, pmid:9765456, doi:10.1016/j.tvjl.2010.03.022, pmid:20418131, doi:10.1016/j.brainres.2005.07.071, pmid:16137663, pmid:19486302, pmid:9120312, doi:10.1080/13550280500186445, pmid:16162477, doi:10.3109/13550289909045375, pmid:10568883, doi:10.1128/JVI.77.13.7477-7485.2003, pmid:12805447, doi:10.1006/mcpr.1994.1032, pmid:7969197, doi:10.1007/s00441-011-1301-8, pmid:22281685, pmid:8669469, doi:10.1097/00005072-199507000-00003, pmid:7602324, doi:10.1016/S0046-8177(98)90395-1, pmid:9445139, doi:10.3109/13550289909021295, pmid:10602407, doi:10.1128/JVI.79.16.10830-10834.2005, pmid:16051875, doi:10.1371/journal.ppat.1000395, pmid:19390619, doi:10.1371/journal.ppat.1004720, pmid:25811757, doi:10.1097/01.aids.0000166090.31693.aa, pmid:15821393, doi:10.1128/JVI.79.3.1772-1788.2005, pmid:15650202, doi:10.3109/13550280009091950, pmid:11175322, doi:10.1212/WNL.54.4.927, pmid:10690988, doi:10.1016/j.immuni.2013.02.012, pmid:23477737, doi:10.1099/0022-1317-75-5-979, pmid:8176384, doi:10.3109/13550289609146904, pmid:8972420, doi:10.1097/00042560-199708150-00002, pmid:9342252, doi:10.1097/00042560-199909010-00002, pmid:10534142, pmid:8389849, pmid:7587362, doi:10.1300/J128v02n01_05, pmid:16873186, doi:10.1097/00126334-200001010-00002, pmid:10708051, doi:10.1080/13550280290049679, pmid:12053277, doi:10.1089/aid.1995.11.1247, pmid:8573382, doi:10.3109/13550289609146903, pmid:8972419, doi:10.1097/00002030-199204000-00007, pmid:1319717, doi:10.3109/13550289709030750, pmid:9372457, doi:10.1016/S0165-2427(96)05617-6, pmid:9151398, doi:10.3109/13550289709029469, pmid:9291236, doi:10.1620/tjem.195.141, pmid:11874247, doi:10.1089/aid.1997.13.1131, pmid:9282818, doi:10.1002/(SICI)1096-9861(19990906)411:4<563::AID-CNE3>3.0.CO;2-3, pmid:10421868, doi:10.1016/j.neurobiolaging.2004.06.015, pmid:15708450, doi:10.1016/j.jfms.2006.01.003, pmid:16603401, doi:10.1186/s40478-015-0258-3, pmid:26651821, doi:10.1177/1098612X12467997, pmid:23172696, doi:10.1016/j.jfms.2010.09.004, pmid:20974401, doi:10.1053/j.tcam.2011.01.005, pmid:21435622, doi:10.1006/nbdi.2001.0459, pmid:11895370, doi:10.1016/S0006-8993(98)01177-9, pmid:9878865, doi:10.1300/J128v01n03_01, doi:10.1007/s11481-011-9325-0, pmid:22161560, doi:10.1016/S0165-5728(99)00126-5, pmid:10580809, doi:10.1097/00001756-199502000-00013, doi:10.1007/s00441-008-0623-7, pmid:18665397, doi:10.1016/j.nbd.2005.07.018, pmid:16298136, doi:10.1111/joim.12050, pmid:23600400, doi:10.1097/WCO.0b013e32834695fb, pmid:21467932, doi:10.1016/S0272-2712(02)00009-4, pmid:12244593, doi:10.1007/BF03033827, pmid:16260393, doi:10.2174/1570162033485113, pmid:15049424, doi:10.1080/13550280590922757, pmid:16036793, pmid:10204573, doi:10.1046/j.1460-9568.2000.00172.x, pmid:10971626, doi:10.1046/j.1471-4159.2001.00396.x, pmid:11483648, doi:10.1016/0896-6273(91)90079-F, pmid:1676893, doi:10.1016/0166-2236(92)90013-X, pmid:1373919, doi:10.1016/j.brainres.2003.09.052, pmid:14644469, pmid:8663435"
PMCID:PMC3823071,Interaction between pathogenic proteins in neurodegenerative disorders,PMC_FULLTEXT,[NOT AVAILABLE],[NOT AVAILABLE]
PMCID:PMC4031666,Introduction,PMC_FULLTEXT,[NOT AVAILABLE],[NOT AVAILABLE]
PMCID:PMC2739903,Mapping the effect of APOE ε4 on gray matter loss in Alzheimer's disease in vivo,PMC_FULLTEXT,[NOT AVAILABLE],[NOT AVAILABLE]
PMCID:PMC6413344,7T MRI allows detection of disturbed cortical lamination of the medial temporal lobe in patients with Alzheimer's disease,PMC_FULLTEXT,[NOT AVAILABLE],[NOT AVAILABLE]
PMCID:PMC6337226,The Controversial Role of Homocysteine in Neurology: From Labs to Clinical Practice,PMC_FULLTEXT,[NOT AVAILABLE],[NOT AVAILABLE]
PMCID:PMC6272158,"Curcumin Differs from Tetrahydrocurcumin for Molecular Targets, Signaling Pathways and Cellular Responses",PMC_FULLTEXT,[NOT AVAILABLE],[NOT AVAILABLE]
PMID:16239972,P-glycoprotein deficiency at the blood-brain barrier increases amyloid-beta deposition in an Alzheimer disease mouse model.,PUBMED_ABSTRACT,"D016428:Journal Article, D052061:Research Support, N.I.H., Extramural, D013485:Research Support, Non-U.S. Gov't, D013486:Research Support, U.S. Gov't, Non-P.H.S.",[NOT AVAILABLE]
PMCID:PMC3715721,Zinc homeostasis and neurodegenerative disorders,PMC_FULLTEXT,[NOT AVAILABLE],[NOT AVAILABLE]
