id,title,document type,publication type,references
PMID:7969208,Perturbation of a prehension movement in Parkinson's disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:22230890,Selective attention deficits in early and moderate stage Parkinson's disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:22759624,Relationships between cognitive functions and driving behavior in Parkinson's disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D016454:Review",[NOT AVAILABLE]
PMID:28976016,Pedestrian safety in patients with Parkinson's disease: A case-control study.,PUBMED_ABSTRACT,D016428:Journal Article,[NOT AVAILABLE]
PMID:18942100,A randomized controlled trial of movement strategies compared with exercise for people with Parkinson's disease.,PUBMED_ABSTRACT,"D003160:Comparative Study, D016428:Journal Article, D016449:Randomized Controlled Trial",[NOT AVAILABLE]
PMID:28263926,Dopamine depletion impairs gait automaticity by altering cortico-striatal and cerebellar processing in Parkinson's disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:31442355,Pro-Saccades Predict Cognitive Decline in Parkinson's Disease: ICICLE-PD.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:15619459,Temporal variability of gait in Parkinson disease: effects of a rehabilitation programme based on rhythmic sound cues.,PUBMED_ABSTRACT,"D016430:Clinical Trial, D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:12849761,"L-Dopa medication remediates cognitive inflexibility, but increases impulsivity in patients with Parkinson's disease.",PUBMED_ABSTRACT,"D016430:Clinical Trial, D003160:Comparative Study, D018848:Controlled Clinical Trial, D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:17707678,Screening for cognitive deficits in Parkinson's disease with the Parkinson neuropsychometric dementia assessment (PANDA) instrument.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:7501774,Set-shifting aptitude in Parkinson's disease: external versus internal cues.,PUBMED_ABSTRACT,D016428:Journal Article,[NOT AVAILABLE]
PMID:10426538,"The alpha2 agonist, clonidine, improves spatial working performance in Parkinson's disease.",PUBMED_ABSTRACT,D016428:Journal Article,[NOT AVAILABLE]
PMID:8475686,Paired choice reaction tasks in patients with Parkinson's disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:7895002,Covert visuospatial attentional mechanisms in Parkinson's disease.,PUBMED_ABSTRACT,"D016430:Clinical Trial, D016428:Journal Article, D016449:Randomized Controlled Trial",[NOT AVAILABLE]
PMID:9450286,Object-based and location-based shifting of attention in Parkinson's disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:28551877,Loss of gait control assessed by cognitive-motor dual-tasks: pros and cons in detecting people at risk of developing Alzheimer's and Parkinson's diseases.,PUBMED_ABSTRACT,"D016428:Journal Article, D016454:Review, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:32477494,Attention Network Test fMRI data for participants with Parkinson's disease and healthy elderly.,PUBMED_ABSTRACT,"D016428:Journal Article, D052061:Research Support, N.I.H., Extramural",[NOT AVAILABLE]
PMID:20878993,Catechol-O-methyltransferase val158met and cognitive function in Parkinson's disease.,PUBMED_ABSTRACT,D016428:Journal Article,[NOT AVAILABLE]
PMID:9555106,Toward a functional analysis of the basal ganglia.,PUBMED_ABSTRACT,"D016430:Clinical Trial, D016428:Journal Article, D013487:Research Support, U.S. Gov't, P.H.S.",[NOT AVAILABLE]
PMID:19166864,Switching between abstract rules reflects disease severity but not dopaminergic status in Parkinson's disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:11844728,Attention to action in Parkinson's disease: impaired effective connectivity among frontal cortical regions.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:2439947,Clinical and biochemical correlates of bradyphrenia in Parkinson's disease.,PUBMED_ABSTRACT,"D003160:Comparative Study, D016428:Journal Article, D013487:Research Support, U.S. Gov't, P.H.S.",[NOT AVAILABLE]
PMID:2213049,Practice effects on the preprogramming of discrete movements in Parkinson's disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D013487:Research Support, U.S. Gov't, P.H.S.",[NOT AVAILABLE]
PMID:31307115,"Hallucinations, somatic-functional disorders of PD-DLB as expressions of thalamic dysfunction.",PUBMED_ABSTRACT,"D016428:Journal Article, D016454:Review",[NOT AVAILABLE]
PMID:9375241,"Cognitive flexibility and complex integration in Parkinson's disease, Huntington's disease, and schizophrenia.",PUBMED_ABSTRACT,"D003160:Comparative Study, D016428:Journal Article",[NOT AVAILABLE]
PMID:21764080,French translation and normation of the Parkinson Neuropsychometric Dementia Assessment (PANDA).,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:2073306,Picture and motor sequencing in Parkinson's disease.,PUBMED_ABSTRACT,D016428:Journal Article,[NOT AVAILABLE]
PMID:25918713,Relationship between Cognitive Performance and Motor Dysfunction in Patients with Parkinson's Disease: A Pilot Cross-Sectional Study.,PUBMED_ABSTRACT,D016428:Journal Article,[NOT AVAILABLE]
PMID:31794926,Aberrant functional connectivity of resting state networks related to misperceptions and intra-individual variability in Parkinson's disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:10071058,Impairment in preattentive visual processing in patients with Parkinson's disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:9220089,Visuospatial ability of parkinsonians and elderly adults in location memory tasks.,PUBMED_ABSTRACT,D016428:Journal Article,[NOT AVAILABLE]
PMID:2789813,Spatial and visual learning deficits in Alzheimer's and Parkinson's disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't, D013486:Research Support, U.S. Gov't, Non-P.H.S., D013487:Research Support, U.S. Gov't, P.H.S.",[NOT AVAILABLE]
PMID:1486458,Fronto-striatal cognitive deficits at different stages of Parkinson's disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:30284873,State anxiety predicts cognitive performance in patients with Parkinson's disease.,PUBMED_ABSTRACT,D016428:Journal Article,[NOT AVAILABLE]
PMID:29710711,Frequency and Correlates of Subjective Memory Complaints in Parkinson's Disease with and without Mild Cognitive Impairment: Data from the Parkinson's Disease Cognitive Impairment Study.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:8472561,Recall and recognition memory in Parkinson's disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:8221053,Contrasting mechanisms of impaired attentional set-shifting in patients with frontal lobe damage or Parkinson's disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:26551089,Cognitive and Motor Aspects of Parkinson's Disease Associated with Dysphagia.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:8711034,Precued shifting of attention between cognitive sets in Parkinson patients.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:24502907,Why we should study gait initiation in Parkinson's disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D016454:Review",[NOT AVAILABLE]
PMID:3221228,Prism adaptation in Parkinson's disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't, D013486:Research Support, U.S. Gov't, Non-P.H.S., D013487:Research Support, U.S. Gov't, P.H.S.",[NOT AVAILABLE]
PMID:22009273,[The neuropsychology of nigrostriatal dopaminergic transmission in Parkinson's disease].,PUBMED_ABSTRACT,"D004740:English Abstract, D016428:Journal Article, D016454:Review",[NOT AVAILABLE]
PMID:10230996,Verbal fluency task affects gait in Parkinson's disease with motor freezing.,PUBMED_ABSTRACT,"D016430:Clinical Trial, D003160:Comparative Study, D018848:Controlled Clinical Trial, D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't, D013486:Research Support, U.S. Gov't, Non-P.H.S., D013487:Research Support, U.S. Gov't, P.H.S.",[NOT AVAILABLE]
