id,title,document type,publication type,references
PMID:30292088,White matter hyperintensities are linked to future cognitive decline in de novo Parkinson's disease patients.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:18044653,3-D analysis of cortical morphometry in differential diagnosis of Parkinson's plus syndromes: mapping frontal lobe cortical atrophy in progressive supranuclear palsy patients.,PUBMED_ABSTRACT,D016428:Journal Article,[NOT AVAILABLE]
PMID:2423234,Etiology of Parkinson's disease: current concepts.,PUBMED_ABSTRACT,"D016428:Journal Article, D016454:Review",[NOT AVAILABLE]
PMID:8419807,Neuropsychological correlates of brain atrophy in Parkinson's disease: a CT-scan study.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:9159725,Sensory and motor evoked potentials in multiple system atrophy: a comparative study with Parkinson's disease.,PUBMED_ABSTRACT,"D003160:Comparative Study, D016428:Journal Article",[NOT AVAILABLE]
PMID:24951642,Grey matter hypometabolism and atrophy in Parkinson's disease with cognitive impairment: a two-step process.,PUBMED_ABSTRACT,"D003160:Comparative Study, D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:26344547,Network structure of brain atrophy in de novo Parkinson's disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D052061:Research Support, N.I.H., Extramural, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:20108369,Topographical distribution of cerebral cortical thinning in patients with mild Parkinson's disease without dementia.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:21370255,The pattern of cortical atrophy in patients with Parkinson's disease according to cognitive status.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:23477861,Clinical and cognitive correlations of regional gray matter atrophy in progressive supranuclear palsy.,PUBMED_ABSTRACT,D016428:Journal Article,[NOT AVAILABLE]
PMID:23376833,Stereopsis and extrastriate cortical atrophy in Parkinson's disease: a voxel-based morphometric study.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:1342044,Dysautonomia in Parkinson's disease: relationship to motor disability.,PUBMED_ABSTRACT,D016428:Journal Article,[NOT AVAILABLE]
PMID:31175168,"Lower volume, more impairment: reduced cholinergic basal forebrain grey matter density is associated with impaired cognition in Parkinson disease.",PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't, D013486:Research Support, U.S. Gov't, Non-P.H.S.",[NOT AVAILABLE]
PMID:6864207,"Various mental behavioral disorders in Parkinson's disease, primary degenerative senile dementia, and multiple infarction dementia.",PUBMED_ABSTRACT,D016428:Journal Article,[NOT AVAILABLE]
PMID:26639978,"Interactions of visual hallucinations, rapid eye movement sleep behavior disorder and cognitive impairment in Parkinson's disease: A review.",PUBMED_ABSTRACT,"D016428:Journal Article, D016454:Review",[NOT AVAILABLE]
PMID:22652466,Intact limbic-prefrontal connections and reduced amygdala volumes in Parkinson's disease with mild depressive symptoms.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
