id,title,document type,publication type,references
PMID:25829070,Decreased vesicular storage and aldehyde dehydrogenase activity in multiple system atrophy.,PUBMED_ABSTRACT,"D016428:Journal Article, D052061:Research Support, N.I.H., Extramural",[NOT AVAILABLE]
PMID:3134931,[Transplantation of the superior cervical ganglion into the brain--a new experimental therapy of Parkinson disease].,PUBMED_ABSTRACT,"D004740:English Abstract, D016428:Journal Article",[NOT AVAILABLE]
PMID:19201246,Olfactory dysfunction in pure autonomic failure: Implications for the pathogenesis of Lewy body diseases.,PUBMED_ABSTRACT,"D016428:Journal Article, D052060:Research Support, N.I.H., Intramural",[NOT AVAILABLE]
PMID:29947239,Manganese dioxide nanoparticle induces Parkinson like neurobehavioral abnormalities in rats.,PUBMED_ABSTRACT,D016428:Journal Article,[NOT AVAILABLE]
PMID:1972319,Neuropathology of immunohistochemically identified brainstem neurons in Parkinson's disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:2919185,Dopamine turnover and glutathione oxidation: implications for Parkinson disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D013487:Research Support, U.S. Gov't, P.H.S.",[NOT AVAILABLE]
PMID:20356833,Serine 129 phosphorylation reduces the ability of alpha-synuclein to regulate tyrosine hydroxylase and protein phosphatase 2A in vitro and in vivo.,PUBMED_ABSTRACT,"D016428:Journal Article, D052061:Research Support, N.I.H., Extramural, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:31374106,Intervention changes acoustic peak frequency and mesolimbic neurochemistry in the Pink1-/- rat model of Parkinson disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D052061:Research Support, N.I.H., Extramural",[NOT AVAILABLE]
PMID:26026785,"Relationships among rat ultrasonic vocalizations, behavioral measures of striatal dopamine loss, and striatal tyrosine hydroxylase immunoreactivity at acute and chronic time points following unilateral 6-hydroxydopamine-induced dopamine depletion.",PUBMED_ABSTRACT,"D016428:Journal Article, D052061:Research Support, N.I.H., Extramural",[NOT AVAILABLE]
PMID:30232253,Supine plasma NE predicts the pressor response to droxidopa in neurogenic orthostatic hypotension.,PUBMED_ABSTRACT,"D016428:Journal Article, D064888:Observational Study, D052061:Research Support, N.I.H., Extramural, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:17103330,Brain catecholamine alterations and pathological features with aging in Parkinson disease model rat induced by Japanese encephalitis virus.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:8422659,Effects of yohimbine on plasma catecholamine levels in orthostatic hypotension related to Parkinson disease or multiple system atrophy.,PUBMED_ABSTRACT,D016428:Journal Article,[NOT AVAILABLE]
PMID:24374917,Amide-type adduct of dopamine - plausible cause of Parkinson diseases.,PUBMED_ABSTRACT,"D016428:Journal Article, D016454:Review",[NOT AVAILABLE]
PMID:11853020,Increase of preproenkephalin mRNA levels in the putamen of Parkinson disease patients with levodopa-induced dyskinesias.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:21073636,Catechols in post-mortem brain of patients with Parkinson disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D052060:Research Support, N.I.H., Intramural",[NOT AVAILABLE]
PMID:5830732,[The effects of desmethylimipramine (Pertofran) on catecholamine metabolism in the central nervous system and the Parkinson syndrome].,PUBMED_ABSTRACT,D016428:Journal Article,[NOT AVAILABLE]
PMID:24945828,Catecholamine autotoxicity. Implications for pharmacology and therapeutics of Parkinson disease and related disorders.,PUBMED_ABSTRACT,"D016428:Journal Article, D052060:Research Support, N.I.H., Intramural, D016454:Review",[NOT AVAILABLE]
