id,title,document type,publication type,references
PMID:30052050,Sex differences in depression-like behavior and neuroinflammation in rats post-MI: role of estrogens.,PUBMED_ABSTRACT,"D003160:Comparative Study, D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't, D057405:Webcast",[NOT AVAILABLE]
PMID:25633682,Brain structure and function related to depression in Alzheimer's disease: contributions from neuroimaging research.,PUBMED_ABSTRACT,"D016428:Journal Article, D013486:Research Support, U.S. Gov't, Non-P.H.S., D016454:Review",[NOT AVAILABLE]
PMID:8270593,The neuroanatomy of depression.,PUBMED_ABSTRACT,"D016428:Journal Article, D016454:Review",[NOT AVAILABLE]
PMID:9403898,"Temporal lobe magnetic resonance imaging can differentiate Alzheimer's disease from normal ageing, depression, vascular dementia and other causes of cognitive impairment.",PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:17260333,Prefrontal cortex dysfunction and depression in atypical parkinsonian syndromes.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:29943098,Exploration of intrinsic brain activity in migraine with and without comorbid depression.,PUBMED_ABSTRACT,D016428:Journal Article,[NOT AVAILABLE]
PMID:25576976,Anxiolytic and antidepressive effects of electric stimulation of the paleocerebellar cortex in pentylenetetrazol kindled rats.,PUBMED_ABSTRACT,D016428:Journal Article,[NOT AVAILABLE]
PMID:12497551,Neuropathological evidence for ischemia in the white matter of the dorsolateral prefrontal cortex in late-life depression.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:10645327,Follow-up study of depression in the elderly. Clinical and SPECT data.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:20686125,Regional patterns of brain tissue loss associated with depression in Parkinson disease.,PUBMED_ABSTRACT,"D016428:Journal Article, D013485:Research Support, Non-U.S. Gov't",[NOT AVAILABLE]
PMID:24080676,Motor imagery in bipolar depression with slowed movement.,PUBMED_ABSTRACT,D016428:Journal Article,[NOT AVAILABLE]
PMID:20858043,"Is it time to consider cognitive behavioral therapy for persons with epilepsy? Clues from pathophysiology, treatment and functional neuroimaging.",PUBMED_ABSTRACT,"D016428:Journal Article, D016454:Review, D000078182:Systematic Review",[NOT AVAILABLE]
