,entity,numberOfDocumentsInQuery,kullbackLeiberDivergence,totalNumberOfDocuments,label
0,UBERON:UBERON_2002175,130,0.5313510477969939,153910,rostral octaval nerve motor nucleus
1,UBERON:UBERON_0000955,116,0.7246194857679855,95963,brain
2,UBERON:UBERON_0004529,111,0.4669682749389666,128832,anatomical projection
3,UBERON:UBERON_0001851,102,0.756390480913375,69499,cortex
4,UBERON:UBERON_0013702,96,0.5125819077249718,92327,body proper
5,UBERON:UBERON_0000468,89,0.4420515429119815,91055,multi-cellular organism
6,UBERON:UBERON_0000479,87,0.3763515427673799,99002,simple tissue
7,UBERON:UBERON_0035944,86,0.4051538709622139,91802,life-death temporal boundary
8,UBERON:UBERON_0001359,83,0.5871802868210064,59848,cerebrospinal fluid
9,UBERON:UBERON_0000178,83,0.24814892709373665,117904,blood
10,UBERON:UBERON_0000104,83,0.28081188312549843,110448,life cycle
11,UBERON:UBERON_0001016,76,0.35718793161066026,81279,nervous system
12,UBERON:UBERON_0001969,74,0.5226459306147757,53462,blood plasma
13,UBERON:UBERON_0002542,69,0.22210893170895527,94357,scale
14,UBERON:UBERON_0016482,68,0.9927597731699952,14060,dental plaque
15,UBERON:UBERON_0001932,65,0.3726660228019842,58556,arcuate nucleus of hypothalamus
16,UBERON:UBERON_0007222,64,0.5660578855405841,34398,late adult stage
17,UBERON:UBERON_0001977,60,0.2107243730569852,78153,blood serum
18,UBERON:UBERON_0002398,57,0.2671215210111277,61096,manus
19,UBERON:UBERON_0002416,56,0.2632518883199237,59879,integumental system
20,UBERON:UBERON_2000098,54,0.33856630319189834,44502,proliferative region
21,UBERON:UBERON_0007023,52,0.15766938620008242,73350,adult organism
22,UBERON:UBERON_0000062,48,0.1813655052476415,59818,organ
23,UBERON:UBERON_0004704,47,0.2620251548522512,43468,bone fossa
24,UBERON:UBERON_0000456,46,0.3497529538480264,30381,secretion of exocrine gland
25,UBERON:UBERON_0034754,44,0.22260046637648453,44332,occipitofrontal fasciculus
26,UBERON:UBERON_0000033,43,0.14016691137667572,58406,head
27,UBERON:UBERON_0000956,42,0.3345375214266832,26122,cerebral cortex
28,UBERON:UBERON_0002316,42,0.3187854594945567,27800,white matter
29,UBERON:UBERON_0027368,41,0.2033750472889334,41992,matrix compartment
30,UBERON:UBERON_0002689,40,0.18008359230173604,44206,supraoptic crest
31,UBERON:UBERON_0002107,40,0.2026142203175445,40260,liver
32,UBERON:UBERON_0000120,40,0.2910783346212245,27889,blood brain barrier
33,UBERON:UBERON_0001137,39,0.2111852858669896,37040,dorsum
34,UBERON:UBERON_0001130,38,0.20143660841384164,36780,vertebral column
35,UBERON:UBERON_0001093,37,0.2323691858333184,30439,vertebral bone 2
36,UBERON:UBERON_0003101,36,0.0520440266730158,66080,male organism
