,entity,numberOfDocumentsInQuery,kullbackLeiberDivergence,totalNumberOfDocuments,label
0,UBERON:UBERON_0001851,53,0.7293272807386547,69499,cortex
1,UBERON:UBERON_0000955,22,0.0022646767857736963,95963,brain
2,UBERON:UBERON_0000956,18,0.2269580811207322,26122,cerebral cortex
3,UBERON:UBERON_0004529,18,-0.09944151501013078,128832,anatomical projection
4,UBERON:UBERON_0014899,18,0.006474684582987649,76761,anterolateral ligament of knee
5,UBERON:UBERON_0013702,17,-0.040596062737505635,92327,body proper
6,UBERON:UBERON_2002175,14,-0.1456209573768009,153910,rostral octaval nerve motor nucleus
7,UBERON:UBERON_0035944,13,-0.06983153451862914,91802,life-death temporal boundary
8,UBERON:UBERON_0007222,13,0.07518282445243399,34398,late adult stage
9,UBERON:UBERON_0001016,12,-0.058773010434958,81279,nervous system
10,UBERON:UBERON_0002316,12,0.08752494318889968,27800,white matter
11,UBERON:UBERON_0002020,11,0.1384732037367659,15992,gray matter
12,UBERON:UBERON_0000454,11,0.13974591914991316,15830,cerebral subcortex
13,UBERON:UBERON_0001871,10,0.14946349754577928,11814,temporal lobe
14,UBERON:UBERON_0001932,10,-0.032434035684234565,58556,arcuate nucleus of hypothalamus
15,UBERON:UBERON_0000479,10,-0.09211090962077643,99002,simple tissue
16,UBERON:UBERON_0000104,10,-0.10454326984922938,110448,life cycle
17,UBERON:UBERON_0001894,9,0.06714585581277302,20546,diencephalon
18,UBERON:UBERON_0002398,9,-0.04430892947277355,61096,manus
19,UBERON:UBERON_0011306,9,0.21299811596866927,4936,deep part of temporalis
20,UBERON:UBERON_0002416,9,-0.04225114715268117,59879,integumental system
21,UBERON:UBERON_0000468,8,-0.08636756577946288,91055,multi-cellular organism
22,UBERON:UBERON_0002298,7,0.03214463758490907,20569,brainstem
23,UBERON:UBERON_0003100,7,-0.04381970114937974,53451,female organism
24,UBERON:UBERON_0016525,7,0.07854078147568935,11479,frontal lobe
25,UBERON:UBERON_0002240,7,-0.00897577463848142,34492,spinal cord
26,UBERON:UBERON_0000033,7,-0.050871666437906034,58406,head
27,UBERON:UBERON_0000045,7,0.023719999555971327,22867,ganglion
28,UBERON:UBERON_0001359,7,-0.05281173157439255,59848,cerebrospinal fluid
29,UBERON:UBERON_0002542,7,-0.0890269829871076,94357,scale
30,UBERON:UBERON_0001869,6,0.012441049313103796,22005,cerebral hemisphere
31,UBERON:UBERON_0006093,6,0.1443097370969252,3181,precuneus cortex
