,entity,numberOfDocumentsInQuery,kullbackLeiberDivergence,totalNumberOfDocuments,label
0,UBERON:UBERON_2002175,105,0.034314291609322464,153910,
1,UBERON:UBERON_0004529,60,-0.07426650597943417,128832,anatomical projection
2,UBERON:UBERON_0035944,59,0.004848374207712518,91802,life-death temporal boundary
3,UBERON:UBERON_0000955,53,-0.028568573378438607,95963,brain
4,UBERON:UBERON_0001016,40,-0.040468964428210616,81279,nervous system
5,UBERON:UBERON_0000468,30,-0.07968673701722552,91055,multi-cellular organism
6,UBERON:UBERON_0013702,26,-0.08578854951566861,92327,body proper
7,UBERON:UBERON_0014899,24,-0.06890117949308716,76761,anterolateral ligament of knee
8,UBERON:UBERON_0000467,22,0.08594160606094578,13464,anatomical system
9,UBERON:UBERON_0000479,19,-0.092551299413128,99002,simple tissue
10,UBERON:UBERON_0001851,17,-0.06590645532594297,69499,cortex
11,UBERON:UBERON_0000062,17,-0.055455235389552236,59818,organ
12,UBERON:UBERON_0000104,15,-0.09432461541270797,110448,life cycle
13,UBERON:UBERON_0007222,11,-0.030563572441179382,34398,late adult stage
14,UBERON:UBERON_0007361,11,0.011011455941043396,13678,ruminant reticulum
15,UBERON:UBERON_0001969,10,-0.04976387232322172,53462,blood plasma
16,UBERON:UBERON_0000178,8,-0.07305841471691632,117904,blood
17,UBERON:UBERON_0001021,8,-0.029581006141224105,31306,nerve
18,UBERON:UBERON_0001359,7,-0.04830431251742423,59848,cerebrospinal fluid
19,UBERON:UBERON_0035971,6,-0.03470207001768212,39061,postsubiculum
20,UBERON:UBERON_0000120,5,-0.025750960859393702,27889,blood brain barrier
21,UBERON:UBERON_0016482,5,-0.011716156362081115,14060,dental plaque
22,UBERON:UBERON_0000956,4,-0.02318583551732096,26122,cerebral cortex
23,UBERON:UBERON_0001013,4,-0.01814906851153816,19212,adipose tissue
24,UBERON:UBERON_0001017,4,0.017481451063023012,2186,central nervous system
25,UBERON:UBERON_0003101,4,-0.03840039712481921,66080,male organism
26,UBERON:UBERON_0001977,4,-0.041151254741768464,78153,blood serum
27,UBERON:UBERON_2000098,4,-0.031919544711208614,44502,proliferative region
28,UBERON:UBERON_0004704,4,-0.031534149681997616,43468,bone fossa
29,UBERON:UBERON_0027368,4,-0.030967823268053238,41992,matrix compartment
30,UBERON:UBERON_0002240,4,-0.027742385385103728,34492,spinal cord
